Nombre del Cotizante,Identificación,Fecha de Solicitud,Motivo del Traspaso,Estado de la Solicitud
Jean Cervantes,628632025,21/11/2024,Ajuste de estrategia de inversión,Generada
Christopher Osborn,308534789,21/11/2024,Cambio a fondo con mayor rentabilidad,Generada
Joshua Park,797231364,21/11/2024,Fondo con mejores comisiones,Generada
Susan Reyes,158450853,21/11/2024,Ajuste de estrategia de inversión,Generada
Roger Turner,569751915,21/11/2024,Diversificación de portafolio,Generada
Joshua Norris,342212326,21/11/2024,Ajuste de estrategia de inversión,Generada
Brian Gomez,825131044,21/11/2024,Fondo con mejores comisiones,Generada
Mallory Hill,282752677,21/11/2024,Ajuste de estrategia de inversión,Generada
Jason Ortiz,314173523,21/11/2024,Diversificación de portafolio,Generada
Troy Dickson,799226036,21/11/2024,Ajuste de estrategia de inversión,Generada
Gabrielle Wilson,323798008,21/11/2024,Recomendación de asesor financiero,Generada
Jasmine Hill,799226036,21/11/2024,Fondo con mejores comisiones,Generada
Douglas Barnes,867974669,21/11/2024,Diversificación de portafolio,Generada
Megan Williams,811581449,21/11/2024,Mejor servicio de atención al cliente,Generada
William Wheeler,270067294,21/11/2024,Cambio a fondo sostenible o responsable,Generada
Michael Dickson,988269432,21/11/2024,Cambio a fondo sostenible o responsable,Generada
Keith Morris,270067294,21/11/2024,Cambio a fondo con mayor rentabilidad,Generada
Trevor Quinn,761046333,21/11/2024,Cambio a fondo con mayor rentabilidad,Generada
David Conley,369245593,21/11/2024,Diversificación de portafolio,Generada
Christian Lopez,374864844,21/11/2024,Fondo con menor riesgo,Generada
Audrey Porter,289494946,21/11/2024,Bajo rendimiento del fondo actual,Generada
Devon Ali,710758754,21/11/2024,Cambio a fondo sostenible o responsable,Generada
Jennifer Barry,799521009,21/11/2024,Cambio a fondo con mayor rentabilidad,Generada
Sarah Buchanan,136898316,21/11/2024,Cambio por motivos personales,Generada
Caroline Landry,914472772,21/11/2024,Fondo con mejores comisiones,Generada
Thomas Browning,613616124,21/11/2024,Cambio a fondo con mayor rentabilidad,Generada
Sarah Estes,309399303,21/11/2024,Fondo con menor riesgo,Generada
Stephanie Adams,856975828,21/11/2024,Diversificación de portafolio,Generada
John Bell,661077266,21/11/2024,Cambio a fondo con mayor rentabilidad,Generada
Micheal Taylor,323798008,21/11/2024,Cambio por motivos personales,Generada
Elizabeth Chavez,285027504,21/11/2024,Ajuste de estrategia de inversión,Generada
Terri Khan,107414510,21/11/2024,Fondo con mejores comisiones,Generada
Thomas Torres,676298092,21/11/2024,Fondo con mejores comisiones,Generada
April Brown,954266457,21/11/2024,Fondo con menor riesgo,Generada
Ashley Neal,954266457,21/11/2024,Recomendación de asesor financiero,Generada
Amanda Murray,954266457,21/11/2024,Cambio a fondo sostenible o responsable,Generada
William Perry,992532982,21/11/2024,Cambio a fondo con mayor rentabilidad,Generada
Benjamin Garcia,386583591,21/11/2024,Cambio a fondo sostenible o responsable,Generada
Michael Mercado,676298092,21/11/2024,Mejor servicio de atención al cliente,Generada
Scott Hamilton,783410225,21/11/2024,Mejor servicio de atención al cliente,Generada
Andrew Duran,272729839,21/11/2024,Cambio a fondo sostenible o responsable,Generada
Jessica Smith,838913691,21/11/2024,Diversificación de portafolio,Generada
Julia Austin,907260961,21/11/2024,Fondo con mejores comisiones,Generada
Laura Tyler,158450853,21/11/2024,Fondo con mejores comisiones,Generada
Michael Thomas DDS,386583591,21/11/2024,Bajo rendimiento del fondo actual,Generada
Shane Mason,258463020,21/11/2024,Ajuste de estrategia de inversión,Generada
Cynthia Martin,314173523,21/11/2024,Diversificación de portafolio,Generada
William Campbell,309399303,21/11/2024,Cambio a fondo con mayor rentabilidad,Generada
Brittany Coleman,107414510,21/11/2024,Cambio por motivos personales,Generada
